name,link,category,reviews amount,total score
Autodesk AutoCAD 2023: 2D черчение,https://stepik.org/course/117875,3D и 2D моделирование,1,99.6281445380998
Тестирование ПО: Manual QA engineer / Ручной тестировщик с нуля,https://stepik.org/course/187739,Тестирование ПО,1,99.60879424082398
Искусство эпохи Возрождения,https://stepik.org/course/210287,Искусствоведение,1,99.59909507419762
Багаж тестировщика: тестирование требований и макетов,https://stepik.org/course/186381,Тестирование ПО,1,99.53229503814833
Аналитика данных,https://stepik.org/course/195138,SQL,2,99.44225225675494
Медитация за 7 дней для занятых,https://stepik.org/course/174650,Курсы для заботы о себе,1,99.27252839342555
Разработка приложений с Flutter и Dart для IOS и Android,https://stepik.org/course/191099,Актуальные скидки,1,99.14511908899186
Формирование метапредметных УУД средствами ИКТ,https://stepik.org/course/109475,Разработка образовательных программ,1,98.96488424681198
JavaScript: от теории к практике,https://stepik.org/course/122729,JavaScript,1,98.95765372645673
Zabbix 6. Мониторинг IT инфраструктуры предприятия,https://stepik.org/course/218689,Маркетинг и бизнес,1,98.59445998063563
React Native и Expo Router,https://stepik.org/course/206721,Веб-разработка,1,97.81259190740128
Массаж For Sc (коррекция фигуры),https://stepik.org/course/209628,Красота и стиль,1,96.99921212510863
Олимпиадное программирование на С++ с решением задач Codeforces,https://stepik.org/course/194965,Программирование,1,96.60290860818863
ЕГЭ по русскому языку (лексические нормы) ,https://stepik.org/course/178425,Русский язык,2,95.81208715059401
Pro-качинг. Интенсив для микростокеров. САМОСТОЯТЕЛЬНОЕ ОБУЧЕНИЕ,https://stepik.org/course/182805,Графический дизайн,1,95.15103204554404
10 шагов к красивой речи (с обратной связью),https://stepik.org/course/219028,Саморазвитие и полезные навыки,1,94.83913765512384
ЕГЭ по математике: планиметрия,https://stepik.org/course/113886,Математика,1,94.80880984832429
Веб-дизайн в Figma: ключ к успеху,https://stepik.org/course/133501,Дизайн и графика,2,93.9372760915089
Информатика ЕГЭ 2025: Подготовка на 90+ за 5 месяцев,https://stepik.org/course/199392,Актуальные скидки,3,93.22735494740391
Основы SQL. Применение SQL в ABC-XYZ анализе,https://stepik.org/course/198137,SQL,1,93.078860432612
Бестселлер за 8 недель. Как написать и издать книгу [Автор],https://stepik.org/course/114610,Гуманитарные науки,1,92.96888316199082
Ликбез для предпринимателя. Поиск и оформление работников,https://stepik.org/course/122539,Большая осенняя распродажа 2022,1,92.67477459445558
"Профессия Travel manager - ""ХОЧУ РЕЗУЛЬТАТ"" ",https://stepik.org/course/177544,Туризм и гостиничное дело,1,92.55984892655982
"Пошаговый гайд ""Как войти в IT?""",https://stepik.org/course/209064,Собеседования на работу в сфере IT,1,92.44277197637716
Английский язык. Уровень А1+А2,https://stepik.org/course/202591,Английский язык,1,91.84939971838173
Математика ЕГЭ Профиль (1 -16) ЕГЭ 2025 От А до Я,https://stepik.org/course/181984,Математический анализ,3,91.2994281469996
Пакет Backend-Разработчик,https://stepik.org/course/187191,Веб-разработка,1,91.29733012908363
ЕГЭ МАТЕМАТИКА 2025 - задания 1 - 12 «короткая часть» (профиль),https://stepik.org/course/182315,Математика,1,91.25211166874436
"Тригонометрия с нуля: все, что нужно для ЕГЭ",https://stepik.org/course/213307,Подготовка к ЕГЭ и ОГЭ,1,91.2462396937379
Гибкие навыки руководителя,https://stepik.org/course/181550,Управление персоналом,1,90.92036544346355
1. Как нравиться себе на видео (с обратной связью),https://stepik.org/course/219029,Саморазвитие и полезные навыки,1,90.75334593585929
Ручная пластика лица,https://stepik.org/course/211825,Здоровье,1,90.5371441400157
BIM-модели элементов вентиляционных систем в Autodesk Revit,https://stepik.org/course/114733,Большая осенняя распродажа 2022,1,90.5138427625495
"Autodesk Revit: Сборник курсов ""Архитектура и конструкции""",https://stepik.org/course/181167,Большие курсы,3,90.46737093345342
ProКоммуникации: Курс по деловой переписке,https://stepik.org/course/185360,Маркетинг и бизнес,6,90.43824487509018
Мобильный монтаж в capcut для новичков,https://stepik.org/course/134631,Фотография и видеосъёмка,3,90.28465009803692
Прокачай Java,https://stepik.org/course/193674,Программирование,2,90.12433978084644
"Экспресс курс ""Персональные данные""",https://stepik.org/course/128231,Право,2,90.10119746737874
Самый полный курс по SQL и БАЗАМ ДАННЫХ (С КУРАТОРОМ),https://stepik.org/course/183400,Курсы с расширенной поддержкой,2,90.09292011580744
ЕГЭ ОБЩЕСТВОЗНАНИЕ - 2025 | Человек и общество,https://stepik.org/course/125583,ЕГЭ по истории и обществознанию,1,89.98810770412729
B2B-маркетинг,https://stepik.org/course/180692,Маркетинговая аналитика,1,89.93649265773054
Информатика ЕГЭ №24-27,https://stepik.org/course/110631,Подготовка к ЕГЭ и ОГЭ,4,89.90210889331674
"Текстик, не болей: редакторская реанимация материалов",https://stepik.org/course/77743,Прокачать навыки,1,89.85715465249689
Устойчивое развитие. Успешный бизнес по новым требованиям,https://stepik.org/course/181296,"Бизнес, менеджмент, право",1,89.71800388714524
Kotlin с нуля до Junior + Подготовка к собеседованию,https://stepik.org/course/207758,Победители Stepik Awards 2024,3,89.38925102757639
КодИИм: задания для курса,https://stepik.org/course/172774,NumPy,7,89.2088515113796
Маркетплейсы. Финансы и аналитика продаж,https://stepik.org/course/202078,Маркетинг и бизнес,2,88.94843418716746
Подготовка к сдаче квалификационного экзамена на статус адвоката,https://stepik.org/course/185539,Саморазвитие и полезные навыки,2,88.78265506750674
